Sample_Name,Species_Name,Family,Diet
Dermanura_bogotensis1,Dermanura bogotensis,Phyllostomidae,Frugivore
Artibeus_jamaicensis1,Artibeus jamaicensis,Phyllostomidae,Frugivore
Artibeus_jamaicensis2,Artibeus jamaicensis,Phyllostomidae,Frugivore
Artibeus_jamaicensis3,Artibeus jamaicensis,Phyllostomidae,Frugivore
Artibeus_jamaicensis4,Artibeus jamaicensis,Phyllostomidae,Frugivore
Eonycteris_spelaea1,Eonycteris spelaea,Pteropodidae,Nectivore
Eonycteris_spelaea2,Eonycteris spelaea,Pteropodidae,Nectivore
Hipposideros_armiger1,Hipposideros armiger,Hipposideridae,Insectivore
Hipposideros_armiger2,Hipposideros armiger,Hipposideridae,Insectivore
Desmodus_rotundus1,Desmodus rotundus,Phyllostomidae,Sanguivore
Phyllostomus_discolor1,Phyllostomus discolor,Phyllostomidae,Omnivore
Phyllostomus_discolor2,Phyllostomus discolor,Phyllostomidae,Omnivore
Molossus_molossus1,Molossus molossus,Molossidae,Insectivore
Tonatia_saurophila1,Tonatia saurophila,Phyllostomidae,Insectivore
Rhinolophus_ferrumequinum1,Rhinolophus ferrumequinum,Rhinolophidae,Insectivore
Rhinolophus_ferrumequinum2,Rhinolophus ferrumequinum,Rhinolophidae,Insectivore
Rousettus_aegyptiacus1,Rousettus aegyptiacus,Pteropodidae,Frugivore
Rousettus_aegyptiacus2,Rousettus aegyptiacus,Pteropodidae,Frugivore
Lonchorhina_aurita1,Lonchorhina aurita,Phyllostomidae,Insectivore
Phyllostomus_hastatus1,Phyllostomus hastatus,Phyllostomidae,Omnivore
Vespertilio_sinensis1,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis2,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis3,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis4,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis5,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis6,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis7,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis8,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis9,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis10,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis11,Vespertilio sinensis,Vespertilionidae,Insectivore
Vespertilio_sinensis12,Vespertilio sinensis,Vespertilionidae,Insectivore
Pteropus_alecto1,Pteropus alecto,Pteropodidae,Frugivore
Pteropus_alecto2,Pteropus alecto,Pteropodidae,Frugivore
Pteropus_alecto3,Pteropus alecto,Pteropodidae,Frugivore
Pteropus_alecto4,Pteropus alecto,Pteropodidae,Frugivore
Lionycteris_spurrelli1,Lionycteris spurrelli,Phyllostomidae,Nectivore
Sturnira_ludovici1,Sturnira ludovici,Phyllostomidae,Frugivore
Rhinophylla_fischerae1,Rhinophylla fischerae,Phyllostomidae,Frugivore
Carollia_perspicillata1,Carollia perspicillata,Phyllostomidae,Frugivore